Time period (start),Time period (end),Usage (KWH)
2/1/2011 0:00,2/1/2011 1:00,0.385
2/1/2011 1:00,2/1/2011 2:00,0.365
2/1/2011 2:00,2/1/2011 3:00,0.425
2/1/2011 3:00,2/1/2011 4:00,0.5
2/1/2011 4:00,2/1/2011 5:00,0.63
2/1/2011 5:00,2/1/2011 6:00,0.69
2/1/2011 6:00,2/1/2011 7:00,1.02
2/1/2011 7:00,2/1/2011 8:00,0.83
2/1/2011 8:00,2/1/2011 9:00,0.325
2/1/2011 9:00,2/1/2011 10:00,0.22
2/1/2011 10:00,2/1/2011 11:00,0.315
2/1/2011 11:00,2/1/2011 12:00,0.225
2/1/2011 12:00,2/1/2011 13:00,0.29
2/1/2011 13:00,2/1/2011 14:00,0.245
2/1/2011 14:00,2/1/2011 15:00,0.28
2/1/2011 15:00,2/1/2011 16:00,0.265
2/1/2011 16:00,2/1/2011 17:00,0.285
2/1/2011 17:00,2/1/2011 18:00,0.39
2/1/2011 18:00,2/1/2011 19:00,1.78
2/1/2011 19:00,2/1/2011 20:00,1.75
2/1/2011 20:00,2/1/2011 21:00,1.73
2/1/2011 21:00,2/1/2011 22:00,1.01
2/1/2011 22:00,2/1/2011 23:00,0.59
2/1/2011 23:00,2/2/2011 0:00,0.585
2/2/2011 0:00,2/2/2011 1:00,0.38
2/2/2011 1:00,2/2/2011 2:00,0.375
2/2/2011 2:00,2/2/2011 3:00,0.51
2/2/2011 3:00,2/2/2011 4:00,0.57
2/2/2011 4:00,2/2/2011 5:00,0.615
2/2/2011 5:00,2/2/2011 6:00,0.95
2/2/2011 6:00,2/2/2011 7:00,1.155
2/2/2011 7:00,2/2/2011 8:00,0.805
2/2/2011 8:00,2/2/2011 9:00,0.36
2/2/2011 9:00,2/2/2011 10:00,0.295
2/2/2011 10:00,2/2/2011 11:00,0.42
2/2/2011 11:00,2/2/2011 12:00,0.29
2/2/2011 12:00,2/2/2011 13:00,0.305
2/2/2011 13:00,2/2/2011 14:00,0.39
2/2/2011 14:00,2/2/2011 15:00,0.275
2/2/2011 15:00,2/2/2011 16:00,0.24
2/2/2011 16:00,2/2/2011 17:00,0.33
2/2/2011 17:00,2/2/2011 18:00,0.285
2/2/2011 18:00,2/2/2011 19:00,1.57
2/2/2011 19:00,2/2/2011 20:00,1.68
2/2/2011 20:00,2/2/2011 21:00,1.775
2/2/2011 21:00,2/2/2011 22:00,1.175
2/2/2011 22:00,2/2/2011 23:00,0.56
2/2/2011 23:00,2/3/2011 0:00,0.38
2/3/2011 0:00,2/3/2011 1:00,0.52
2/3/2011 1:00,2/3/2011 2:00,0.6
2/3/2011 2:00,2/3/2011 3:00,0.68
2/3/2011 3:00,2/3/2011 4:00,0.645
2/3/2011 4:00,2/3/2011 5:00,0.725
2/3/2011 5:00,2/3/2011 6:00,0.89
2/3/2011 6:00,2/3/2011 7:00,1.21
2/3/2011 7:00,2/3/2011 8:00,0.88
2/3/2011 8:00,2/3/2011 9:00,0.365
2/3/2011 9:00,2/3/2011 10:00,0.335
2/3/2011 10:00,2/3/2011 11:00,0.355
2/3/2011 11:00,2/3/2011 12:00,0.405
2/3/2011 12:00,2/3/2011 13:00,0.39
2/3/2011 13:00,2/3/2011 14:00,0.345
2/3/2011 14:00,2/3/2011 15:00,0.395
2/3/2011 15:00,2/3/2011 16:00,0.585
2/3/2011 16:00,2/3/2011 17:00,0.31
2/3/2011 17:00,2/3/2011 18:00,0.425
2/3/2011 18:00,2/3/2011 19:00,2.275
2/3/2011 19:00,2/3/2011 20:00,2.195
2/3/2011 20:00,2/3/2011 21:00,1.65
2/3/2011 21:00,2/3/2011 22:00,1.205
2/3/2011 22:00,2/3/2011 23:00,0.585
2/3/2011 23:00,2/4/2011 0:00,0.425
2/4/2011 0:00,2/4/2011 1:00,0.415
2/4/2011 1:00,2/4/2011 2:00,0.515
2/4/2011 2:00,2/4/2011 3:00,0.52
2/4/2011 3:00,2/4/2011 4:00,0.645
2/4/2011 4:00,2/4/2011 5:00,1.13
2/4/2011 5:00,2/4/2011 6:00,1.62
2/4/2011 6:00,2/4/2011 7:00,1.06
2/4/2011 7:00,2/4/2011 8:00,0.935
2/4/2011 8:00,2/4/2011 9:00,0.285
2/4/2011 9:00,2/4/2011 10:00,0.435
2/4/2011 10:00,2/4/2011 11:00,0.71
2/4/2011 11:00,2/4/2011 12:00,1.175
2/4/2011 12:00,2/4/2011 13:00,1.495
2/4/2011 13:00,2/4/2011 14:00,0.625
2/4/2011 14:00,2/4/2011 15:00,0.655
2/4/2011 15:00,2/4/2011 16:00,0.565
2/4/2011 16:00,2/4/2011 17:00,0.275
2/4/2011 17:00,2/4/2011 18:00,0.415
2/4/2011 18:00,2/4/2011 19:00,1.185
2/4/2011 19:00,2/4/2011 20:00,1.605
2/4/2011 20:00,2/4/2011 21:00,1.48
2/4/2011 21:00,2/4/2011 22:00,1.135
2/4/2011 22:00,2/4/2011 23:00,0.48
2/4/2011 23:00,2/5/2011 0:00,0.37
2/5/2011 0:00,2/5/2011 1:00,0.335
2/5/2011 1:00,2/5/2011 2:00,0.4
2/5/2011 2:00,2/5/2011 3:00,0.445
2/5/2011 3:00,2/5/2011 4:00,0.6
2/5/2011 4:00,2/5/2011 5:00,0.57
2/5/2011 5:00,2/5/2011 6:00,0.595
2/5/2011 6:00,2/5/2011 7:00,1.215
2/5/2011 7:00,2/5/2011 8:00,1.145
2/5/2011 8:00,2/5/2011 9:00,0.515
2/5/2011 9:00,2/5/2011 10:00,0.395
2/5/2011 10:00,2/5/2011 11:00,0.33
2/5/2011 11:00,2/5/2011 12:00,0.245
2/5/2011 12:00,2/5/2011 13:00,0.32
2/5/2011 13:00,2/5/2011 14:00,0.23
2/5/2011 14:00,2/5/2011 15:00,0.33
2/5/2011 15:00,2/5/2011 16:00,0.37
2/5/2011 16:00,2/5/2011 17:00,0.415
2/5/2011 17:00,2/5/2011 18:00,0.28
2/5/2011 18:00,2/5/2011 19:00,1.095
2/5/2011 19:00,2/5/2011 20:00,1.425
2/5/2011 20:00,2/5/2011 21:00,1.475
2/5/2011 21:00,2/5/2011 22:00,0.985
2/5/2011 22:00,2/5/2011 23:00,0.64
2/5/2011 23:00,2/6/2011 0:00,0.27
2/6/2011 0:00,2/6/2011 1:00,0.295
2/6/2011 1:00,2/6/2011 2:00,0.305
2/6/2011 2:00,2/6/2011 3:00,0.355
2/6/2011 3:00,2/6/2011 4:00,0.4
2/6/2011 4:00,2/6/2011 5:00,0.345
2/6/2011 5:00,2/6/2011 6:00,0.525
2/6/2011 6:00,2/6/2011 7:00,0.95
2/6/2011 7:00,2/6/2011 8:00,0.91
2/6/2011 8:00,2/6/2011 9:00,0.43
2/6/2011 9:00,2/6/2011 10:00,0.405
2/6/2011 10:00,2/6/2011 11:00,0.31
2/6/2011 11:00,2/6/2011 12:00,0.295
2/6/2011 12:00,2/6/2011 13:00,0.275
2/6/2011 13:00,2/6/2011 14:00,0.275
2/6/2011 14:00,2/6/2011 15:00,0.28
2/6/2011 15:00,2/6/2011 16:00,0.35
2/6/2011 16:00,2/6/2011 17:00,0.435
2/6/2011 17:00,2/6/2011 18:00,0.38
2/6/2011 18:00,2/6/2011 19:00,0.975
2/6/2011 19:00,2/6/2011 20:00,1.255
2/6/2011 20:00,2/6/2011 21:00,1.37
2/6/2011 21:00,2/6/2011 22:00,0.945
2/6/2011 22:00,2/6/2011 23:00,0.515
2/6/2011 23:00,2/7/2011 0:00,0.3
2/7/2011 0:00,2/7/2011 1:00,0.265
2/7/2011 1:00,2/7/2011 2:00,0.28
2/7/2011 2:00,2/7/2011 3:00,0.28
2/7/2011 3:00,2/7/2011 4:00,0.365
2/7/2011 4:00,2/7/2011 5:00,0.355
2/7/2011 5:00,2/7/2011 6:00,0.62
2/7/2011 6:00,2/7/2011 7:00,0.8
2/7/2011 7:00,2/7/2011 8:00,0.635
2/7/2011 8:00,2/7/2011 9:00,0.33
2/7/2011 9:00,2/7/2011 10:00,0.28
2/7/2011 10:00,2/7/2011 11:00,0.225
